,Place,Potential Exposure Window,Address,Details,Zone,Last Updated,Exposure area,Geolocation Address,Geolocation Address Coords,longitude,latitude
40,Amherst Pharmasave,"Sat, 11/20/2021 - 09:30 to 12:00","158 Robert Angus Dr., Amherst",details,Northern,11/25/2021 - 20:13,Amherst Pharmasave,"Amherst Pharmasave-158 Robert Angus Dr., Amherst","[{'address': 'Pharmasave', 'location': {'x': -64.1899300311611, 'y': 45.82262005222435}, 'score': 98.25, 'attributes': {'URL': 'https://pharmasave.com', 'address': '158 Robert Angus Dr', 'City': 'Amherst', 'Country': 'CAN'}, 'extent': {'xmin': -64.19572999999997, 'ymin': 45.818100000000065, 'xmax': -64.18572999999998, 'ymax': 45.82810000000007}}, {'address': '158 Robert Angus Dr, Amherst, Nova Scotia, B4H 4R7', 'location': {'x': -64.1899389420591, 'y': 45.82262413847394}, 'score': 96.5, 'attributes': {'URL': '', 'address': '158 Robert Angus Dr', 'City': 'Amherst', 'Country': 'CAN'}, 'extent': {'xmin': -64.19173002608062, 'ymin': 45.822099979117105, 'xmax': -64.18973002608061, 'ymax': 45.8240999791171}}, {'address': '158 Angus Dr, Amherst, Virginia, 24521', 'location': {'x': -79.08352751973518, 'y': 37.70106023025954}, 'score': 89.54, 'attributes': {'URL': '', 'address': '158 Angus Dr', 'City': 'Amherst', 'Country': 'USA'}, 'extent': {'xmin': -79.08452751973519, 'ymin': 37.700060230259545, 'xmax': -79.08252751973518, 'ymax': 37.70206023025954}}, {'address': '158 Angus Dr, Amherst, Virginia, 24521', 'location': {'x': -79.08350318941467, 'y': 37.701173193389664}, 'score': 89.54, 'attributes': {'URL': '', 'address': '158 Angus Dr', 'City': 'Amherst', 'Country': 'USA'}, 'extent': {'xmin': -79.08450318941468, 'ymin': 37.700173193389666, 'xmax': -79.08250318941467, 'ymax': 37.70217319338966}}, {'address': '158 Angus Dr, Amherst, Virginia, 24521', 'location': {'x': -79.08352751973518, 'y': 37.70106023025954}, 'score': 89.54, 'attributes': {'URL': '', 'address': '158 Angus Dr', 'City': 'Amherst', 'Country': 'USA'}, 'extent': {'xmin': -79.08452751973519, 'ymin': 37.700060230259545, 'xmax': -79.08252751973518, 'ymax': 37.70206023025954}}, {'address': '158 Angus Dr, Amherst, Virginia, 24521', 'location': {'x': -79.08350318941467, 'y': 37.701173193389664}, 'score': 89.54, 'attributes': {'URL': '', 'address': '158 Angus Dr', 'City': 'Amherst', 'Country': 'USA'}, 'extent': {'xmin': -79.08450318941468, 'ymin': 37.700173193389666, 'xmax': -79.08250318941467, 'ymax': 37.70217319338966}}]",-64.1899300311611,45.82262005222435
41,Don Henderson Memorial Sportsplex,"Sat, 11/20/2021 - 09:00 to 11:30","55 Carter Road, Brookfield",details,Northern,11/22/2021 - 19:39,Don Henderson Memorial Sportsplex,"Don Henderson Memorial Sportsplex-55 Carter Road, Brookfield","[{'address': '55 Carter Rd, Brookfield, Colchester, Nova Scotia, B0N 1C0', 'location': {'x': -63.27308337356618, 'y': 45.257885700677384}, 'score': 94.23, 'attributes': {'URL': '', 'address': '55 Carter Rd', 'City': 'Colchester', 'Country': 'CAN'}, 'extent': {'xmin': -63.27602998675919, 'ymin': 45.256489991028566, 'xmax': -63.274029986759196, 'ymax': 45.25848999102856}}]",-63.27308337356618,45.257885700677384
42,Oasis Pub,"Fri, 11/19/2021 - 20:30 to Sat, 11/20/2021 - 00:30","5661 Spring Garden Road, Halifax",details,Central,11/22/2021 - 19:39,Oasis Pub,"Oasis Pub-5661 Spring Garden Road, Halifax","[{'address': 'Oasis', 'location': {'x': -63.57880000389512, 'y': 44.64256000389518}, 'score': 100, 'attributes': {'URL': 'http://www.oasishfx.com', 'address': '5661 Spring Garden Rd', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.58389999999998, 'ymin': 44.63766000000003, 'xmax': -63.57389999999997, 'ymax': 44.64766000000004}}, {'address': '5661 Spring Garden Rd, Halifax, Nova Scotia, B3J 1G9', 'location': {'x': -63.578827457306375, 'y': 44.64256696153553}, 'score': 97.71, 'attributes': {'URL': '', 'address': '5661 Spring Garden Rd', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.57989996076882, 'ymin': 44.64166000066076, 'xmax': -63.577899960768825, 'ymax': 44.64366000066075}}]",-63.57880000389512,44.64256000389518
43,Putting Edge,"Fri, 11/19/2021 - 14:30 to 17:00","182 Chain Lake Drive, Halifax",details,Central,11/22/2021 - 19:39,Putting Edge,"Putting Edge-182 Chain Lake Drive, Halifax","[{'address': '182 Chain Lake Dr, Halifax, Nova Scotia, B3S 1C5', 'location': {'x': -63.67364555768354, 'y': 44.646865494850665}, 'score': 96.86, 'attributes': {'URL': '', 'address': '182 Chain Lake Dr', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.67486000571812, 'ymin': 44.645569993812394, 'xmax': -63.67086000571812, 'ymax': 44.6495699938124}}, {'address': '182 Lake Dr, Bedford, Halifax, Nova Scotia, B4A 1H9', 'location': {'x': -63.683544652623446, 'y': 44.715523498576154}, 'score': 94.47, 'attributes': {'URL': '', 'address': '182 Lake Dr', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.684544652623444, 'ymin': 44.714523498576156, 'xmax': -63.68254465262345, 'ymax': 44.71652349857615}}]",-63.67364555768354,44.646865494850665
44,Dairy Queen,"Fri, 11/19/2021 - 14:15 to 15:30","188a Chain Lake Drive, Halifax",details,Central,11/22/2021 - 19:39,Dairy Queen,"Dairy Queen-188a Chain Lake Drive, Halifax","[{'address': '188A Chain Lake Dr, Halifax, Nova Scotia, B3S 1C5', 'location': {'x': -63.67490670523769, 'y': 44.64857362709973}, 'score': 97.14, 'attributes': {'URL': '', 'address': '188A Chain Lake Dr', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.675906705237686, 'ymin': 44.64757362709973, 'xmax': -63.67390670523769, 'ymax': 44.64957362709973}}, {'address': '188A Lake Dr, Bedford, Halifax, Nova Scotia, B4A 1H9', 'location': {'x': -63.683544652623446, 'y': 44.715523498576154}, 'score': 94.76, 'attributes': {'URL': '', 'address': '188A Lake Dr', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.684544652623444, 'ymin': 44.714523498576156, 'xmax': -63.68254465262345, 'ymax': 44.71652349857615}}]",-63.67490670523769,44.64857362709973
45,Pizza Delight,"Fri, 11/19/2021 - 13:00 to 16:00","4 Robert Angus Drive, Amherst",details,Northern,11/22/2021 - 19:39,Pizza Delight,"Pizza Delight-4 Robert Angus Drive, Amherst","[{'address': 'Pizza Delight', 'location': {'x': -64.20112005554248, 'y': 45.81353001889885}, 'score': 100, 'attributes': {'URL': 'http://www.pizzadelight.com', 'address': '4 Robert Angus Dr', 'City': 'Amherst', 'Country': 'CAN'}, 'extent': {'xmin': -64.20646999999997, 'ymin': 45.80880000000007, 'xmax': -64.19646999999998, 'ymax': 45.818800000000074}}, {'address': '4 Robert Angus Dr, Amherst, Nova Scotia, B4H 4R7', 'location': {'x': -64.20112543003694, 'y': 45.813535305584615}, 'score': 96.67, 'attributes': {'URL': '', 'address': '4 Robert Angus Dr', 'City': 'Amherst', 'Country': 'CAN'}, 'extent': {'xmin': -64.20247001007641, 'ymin': 45.81280000608684, 'xmax': -64.2004700100764, 'ymax': 45.814800006086834}}]",-64.20112005554248,45.81353001889885
46,Cineplex Cinemas Truro - movie “Venom: Let There Be Carnage” and the arcade,"Thu, 11/18/2021 - 18:00 to 21:15","20 Treaty Trail, Millbrook",details,Northern,11/23/2021 - 20:10,Cineplex Cinemas Truro - movie “Venom: Let There Be Carnage” and the arcade,"Cineplex Cinemas Truro - movie “Venom: Let There Be Carnage” and the arcade-20 Treaty Trail, Millbrook","[{'address': '20 Treaty Trl, Millbrook, Truro, Nova Scotia, B6L 1W2', 'location': {'x': -63.30506469276992, 'y': 45.33277725117875}, 'score': 92.68, 'attributes': {'URL': '', 'address': '20 Treaty Trl', 'City': 'Truro', 'Country': 'CAN'}, 'extent': {'xmin': -63.30703003655841, 'ymin': 45.33168999556671, 'xmax': -63.30503003655841, 'ymax': 45.33368999556671}}]",-63.30506469276992,45.33277725117875
47,Your Father’s Moustache,"Thu, 11/18/2021 - 16:30 to 20:00","5686 Spring Garden Road, Halifax",details,Central,11/24/2021 - 19:57,Your Father’s Moustache,"Your Father’s Moustache-5686 Spring Garden Road, Halifax","[{'address': ""Your Father's Moustache"", 'location': {'x': -63.57928993060763, 'y': 44.642389945034466}, 'score': 100, 'attributes': {'URL': 'http://yourfathersmoustache.ca', 'address': '5686 Spring Garden Rd', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.58422999999994, 'ymin': 44.63727000000005, 'xmax': -63.574229999999936, 'ymax': 44.647270000000056}}, {'address': '5686 Spring Garden Rd, Halifax, Nova Scotia, B3J 1H5', 'location': {'x': -63.57928251082974, 'y': 44.64238297876079}, 'score': 95.74, 'attributes': {'URL': '', 'address': '5686 Spring Garden Rd', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.58023004011587, 'ymin': 44.641269990706014, 'xmax': -63.578230040115876, 'ymax': 44.64326999070601}}]",-63.57928993060763,44.642389945034466
48,Don Henderson Memorial Sportsplex,"Thu, 11/18/2021 - 15:15 to 19:30","55 Carter Road, Brookfield",details,Northern,11/22/2021 - 19:39,Don Henderson Memorial Sportsplex,"Don Henderson Memorial Sportsplex-55 Carter Road, Brookfield","[{'address': '55 Carter Rd, Brookfield, Colchester, Nova Scotia, B0N 1C0', 'location': {'x': -63.27308337356618, 'y': 45.257885700677384}, 'score': 94.23, 'attributes': {'URL': '', 'address': '55 Carter Rd', 'City': 'Colchester', 'Country': 'CAN'}, 'extent': {'xmin': -63.27602998675919, 'ymin': 45.256489991028566, 'xmax': -63.274029986759196, 'ymax': 45.25848999102856}}]",-63.27308337356618,45.257885700677384
49,Rob Bitars Ristorante,"Thu, 11/18/2021 - 12:00 to 15:00","689 Nova Scotia Trunk 2, Elmsdale",details,Central,11/20/2021 - 20:05,Rob Bitars Ristorante,"Rob Bitars Ristorante-689 Nova Scotia Trunk 2, Elmsdale","[{'address': '2 Elmsdale Rd, Elmsdale, East Hants, Nova Scotia, B2S 1K6', 'location': {'x': -63.495171614346425, 'y': 44.96186226536262}, 'score': 75.22, 'attributes': {'URL': '', 'address': '2 Elmsdale Rd', 'City': 'East Hants', 'Country': 'CAN'}, 'extent': {'xmin': -63.49617161434642, 'ymin': 44.96086226536262, 'xmax': -63.49417161434643, 'ymax': 44.96286226536262}}, {'address': '2 Elmsdale Rd, Elmsdale, Halifax, Nova Scotia, B2S 1K6', 'location': {'x': -63.49231881551632, 'y': 44.96108951070882}, 'score': 75.22, 'attributes': {'URL': '', 'address': '2 Elmsdale Rd', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.49331881551632, 'ymin': 44.96008951070882, 'xmax': -63.49131881551632, 'ymax': 44.962089510708815}}, {'address': 'Elmsdale, East Hants, Nova Scotia', 'location': {'x': -63.50470999999993, 'y': 44.967370000000074}, 'score': 74.9, 'attributes': {'URL': '', 'address': '', 'City': 'East Hants', 'Country': 'CAN'}, 'extent': {'xmin': -63.515709999999935, 'ymin': 44.95637000000007, 'xmax': -63.49370999999993, 'ymax': 44.978370000000076}}, {'address': '2 Elmdale Cres, Halifax, Nova Scotia, B3R 2G5', 'location': {'x': -63.62849434075337, 'y': 44.60194515744319}, 'score': 72.27, 'attributes': {'URL': '', 'address': '2 Elmdale Cres', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.62932997163214, 'ymin': 44.60108999673003, 'xmax': -63.62732997163214, 'ymax': 44.60308999673003}}, {'address': 'Scotia, Emsdale, Perry, Ontario', 'location': {'x': -79.29217999999997, 'y': 45.505850000000066}, 'score': 70.54, 'attributes': {'URL': '', 'address': '', 'City': 'Perry', 'Country': 'CAN'}, 'extent': {'xmin': -79.30217999999998, 'ymin': 45.49585000000007, 'xmax': -79.28217999999997, 'ymax': 45.515850000000064}}, {'address': 'Nova Scotia', 'location': {'x': -61.63182999999998, 'y': 45.76663995400003}, 'score': 70.07, 'attributes': {'URL': '', 'address': '', 'City': '', 'Country': 'CAN'}, 'extent': {'xmin': -64.27482999999998, 'ymin': 43.123639954000026, 'xmax': -58.98882999999998, 'ymax': 48.40963995400003}}, {'address': 'Nova Scotia, Lancashire, England', 'location': {'x': -2.485497132999967, 'y': 53.73939446000003}, 'score': 70.07, 'attributes': {'URL': '', 'address': '', 'City': 'Nova Scotia', 'Country': 'GBR'}, 'extent': {'xmin': -2.489497132999967, 'ymin': 53.73539446000003, 'xmax': -2.481497132999967, 'ymax': 53.743394460000026}}, {'address': 'Nova Scotia, Cheshire, England', 'location': {'x': -2.5835454409999556, 'y': 53.21266642900008}, 'score': 70.07, 'attributes': {'URL': '', 'address': '', 'City': 'Nova Scotia', 'Country': 'GBR'}, 'extent': {'xmin': -2.5875454409999556, 'ymin': 53.20866642900008, 'xmax': -2.5795454409999556, 'ymax': 53.21666642900008}}, {'address': 'Nova Scotia, Moqhaka, Fezile Dabi, Free State', 'location': {'x': 27.431820000000073, 'y': -27.65206999999998}, 'score': 70.07, 'attributes': {'URL': '', 'address': '', 'City': 'Moqhaka', 'Country': 'ZAF'}, 'extent': {'xmin': 27.42182000000007, 'ymin': -27.662069999999982, 'xmax': 27.441820000000074, 'ymax': -27.64206999999998}}, {'address': 'Elmsdale, Prince, Prince Edward Island', 'location': {'x': -64.13857999999993, 'y': 46.820190000000025}, 'score': 70, 'attributes': {'URL': '', 'address': '', 'City': 'Prince', 'Country': 'CAN'}, 'extent': {'xmin': -64.14857999999994, 'ymin': 46.81019000000003, 'xmax': -64.12857999999993, 'ymax': 46.83019000000002}}]",-63.495171614346425,44.96186226536262
50,Springhill Miners Memorial Library,"Thu, 11/18/2021 - 10:00 to 18:00","8 Pioneer St., Springhill",details,Northern,11/29/2021 - 18:59,Springhill Miners Memorial Library,"Springhill Miners Memorial Library-8 Pioneer St., Springhill","[{'address': '8 Pioneer St, Springhill, Cumberland, Nova Scotia, B0M', 'location': {'x': -64.05668696577501, 'y': 45.65013492277366}, 'score': 94.9, 'attributes': {'URL': '', 'address': '8 Pioneer St', 'City': 'Cumberland', 'Country': 'CAN'}, 'extent': {'xmin': -64.0574500093723, 'ymin': 45.64918999187751, 'xmax': -64.0554500093723, 'ymax': 45.65118999187751}}]",-64.05668696577501,45.65013492277366
51,Dalplex Basketball Courts in Field House,"Wed, 11/17/2021 - 19:15 to 22:15","6260 South Street, Halifax",details,Central,11/23/2021 - 11:34,Dalplex Basketball Courts in Field House,"Dalplex Basketball Courts in Field House-6260 South Street, Halifax","[{'address': 'South St, Noblesville, Indiana, 46060', 'location': {'x': -86.01282002338763, 'y': 40.034720910529444}, 'score': 73.86, 'attributes': {'URL': '', 'address': 'South St', 'City': 'Noblesville', 'Country': 'USA'}, 'extent': {'xmin': -86.01382002338764, 'ymin': 40.033720910529446, 'xmax': -86.01182002338763, 'ymax': 40.03572091052944}}, {'address': 'South St, Noblesville, Indiana, 46060', 'location': {'x': -86.01618095797177, 'y': 40.03415003420514}, 'score': 73.86, 'attributes': {'URL': '', 'address': 'South St', 'City': 'Noblesville', 'Country': 'USA'}, 'extent': {'xmin': -86.01718095797177, 'ymin': 40.03315003420514, 'xmax': -86.01518095797176, 'ymax': 40.03515003420514}}, {'address': 'Fields, Indiana', 'location': {'x': -86.33346999999998, 'y': 39.546730000000025}, 'score': 73.5, 'attributes': {'URL': '', 'address': '', 'City': 'Fields', 'Country': 'USA'}, 'extent': {'xmin': -86.34346999999998, 'ymin': 39.53673000000003, 'xmax': -86.32346999999997, 'ymax': 39.55673000000002}}, {'address': 'Enfield, North Carolina', 'location': {'x': -77.66279999999995, 'y': 36.18103000000008}, 'score': 73, 'attributes': {'URL': '', 'address': '', 'City': 'Enfield', 'Country': 'USA'}, 'extent': {'xmin': -77.67579999999995, 'ymin': 36.16803000000008, 'xmax': -77.64979999999994, 'ymax': 36.194030000000076}}, {'address': 'Halifax, Nova Scotia', 'location': {'x': -63.57654999999994, 'y': 44.64548000000008}, 'score': 73, 'attributes': {'URL': '', 'address': '', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -65.05854999999994, 'ymin': 43.16348000000008, 'xmax': -62.09454999999994, 'ymax': 46.12748000000008}}, {'address': 'South Street, Canterbury, Kent, England', 'location': {'x': 1.044823334000057, 'y': 51.34791428500006}, 'score': 70.22, 'attributes': {'URL': '', 'address': '', 'City': 'Canterbury', 'Country': 'GBR'}, 'extent': {'xmin': 1.040823334000057, 'ymin': 51.34391428500006, 'xmax': 1.048823334000057, 'ymax': 51.351914285000056}}, {'address': 'South Street, Gravesham, Kent, England', 'location': {'x': 0.34877554900003815, 'y': 51.34801358100003}, 'score': 70.22, 'attributes': {'URL': '', 'address': '', 'City': 'Gravesham', 'Country': 'GBR'}, 'extent': {'xmin': 0.34477554900003815, 'ymin': 51.344013581000034, 'xmax': 0.35277554900003816, 'ymax': 51.35201358100003}}, {'address': 'South Street, Bromley, Greater London, England', 'location': {'x': 0.052602519000060965, 'y': 51.30085307400003}, 'score': 70.22, 'attributes': {'URL': '', 'address': '', 'City': 'Bromley', 'Country': 'GBR'}, 'extent': {'xmin': 0.04860251900006096, 'ymin': 51.29685307400003, 'xmax': 0.05660251900006097, 'ymax': 51.30485307400003}}, {'address': 'South Street, Lewes, East Sussex, England', 'location': {'x': -0.01771831199994267, 'y': 50.94841321100006}, 'score': 70.22, 'attributes': {'URL': '', 'address': '', 'City': 'Lewes', 'Country': 'GBR'}, 'extent': {'xmin': -0.02071831199994267, 'ymin': 50.94541321100006, 'xmax': -0.014718311999942672, 'ymax': 50.95141321100006}}, {'address': 'South Street, Swale, Kent, England', 'location': {'x': 0.9458192410000379, 'y': 51.28206227600003}, 'score': 70.22, 'attributes': {'URL': '', 'address': '', 'City': 'Swale', 'Country': 'GBR'}, 'extent': {'xmin': 0.9428192410000379, 'ymin': 51.27906227600003, 'xmax': 0.9488192410000379, 'ymax': 51.28506227600003}}, {'address': 'South Street, Maidstone, Kent, England', 'location': {'x': 0.6325701110000637, 'y': 51.31939437800003}, 'score': 70.22, 'attributes': {'URL': '', 'address': '', 'City': 'Maidstone', 'Country': 'GBR'}, 'extent': {'xmin': 0.6295701110000637, 'ymin': 51.31639437800003, 'xmax': 0.6355701110000637, 'ymax': 51.32239437800003}}, {'address': 'Halifax, Calderdale, West Yorkshire, England', 'location': {'x': -1.8601775439999528, 'y': 53.72284241600005}, 'score': 70, 'attributes': {'URL': '', 'address': '', 'City': 'Calderdale', 'Country': 'GBR'}, 'extent': {'xmin': -1.9071775439999528, 'ymin': 53.67584241600005, 'xmax': -1.813177543999953, 'ymax': 53.769842416000046}}, {'address': 'Halifax, Massachusetts', 'location': {'x': -70.86016999999998, 'y': 41.99102000000005}, 'score': 70, 'attributes': {'URL': '', 'address': '', 'City': 'Halifax', 'Country': 'USA'}, 'extent': {'xmin': -70.87016999999999, 'ymin': 41.98102000000005, 'xmax': -70.85016999999998, 'ymax': 42.00102000000005}}, {'address': 'Halifax, Virginia', 'location': {'x': -78.92871999999994, 'y': 36.76570000000004}, 'score': 70, 'attributes': {'URL': '', 'address': '', 'City': 'Halifax', 'Country': 'USA'}, 'extent': {'xmin': -78.93971999999994, 'ymin': 36.754700000000035, 'xmax': -78.91771999999995, 'ymax': 36.77670000000004}}, {'address': 'Halifax, Georgia', 'location': {'x': -81.69815999999997, 'y': 30.964950000000044}, 'score': 70, 'attributes': {'URL': '', 'address': '', 'City': 'Halifax', 'Country': 'USA'}, 'extent': {'xmin': -81.71815999999997, 'ymin': 30.944950000000045, 'xmax': -81.67815999999998, 'ymax': 30.984950000000044}}, {'address': 'Halifax, Queensland', 'location': {'x': 146.2850400000001, 'y': -18.579399999999964}, 'score': 70, 'attributes': {'URL': '', 'address': '', 'City': 'Halifax', 'Country': 'AUS'}, 'extent': {'xmin': 146.25304000000008, 'ymin': -18.611399999999964, 'xmax': 146.3170400000001, 'ymax': -18.547399999999964}}, {'address': 'Halifax, Manchester', 'location': {'x': -77.54999999999995, 'y': 18.150000000000034}, 'score': 70, 'attributes': {'URL': '', 'address': '', 'City': 'Halifax', 'Country': 'JAM'}, 'extent': {'xmin': -77.55999999999996, 'ymin': 18.140000000000033, 'xmax': -77.53999999999995, 'ymax': 18.160000000000036}}, {'address': 'Halifax, Saint Mary', 'location': {'x': -77.02065999999996, 'y': 18.291520000000048}, 'score': 70, 'attributes': {'URL': '', 'address': '', 'City': 'Halifax', 'Country': 'JAM'}, 'extent': {'xmin': -77.03065999999997, 'ymin': 18.281520000000047, 'xmax': -77.01065999999996, 'ymax': 18.30152000000005}}, {'address': 'Halifax, North-West', 'location': {'x': 23.22607000000005, 'y': -26.208189999999945}, 'score': 70, 'attributes': {'URL': '', 'address': '', 'City': 'Halifax', 'Country': 'ZAF'}, 'extent': {'xmin': 23.216070000000048, 'ymin': -26.218189999999947, 'xmax': 23.23607000000005, 'ymax': -26.198189999999943}}, {'address': 'Halifax, Pennsylvania', 'location': {'x': -76.93108999999998, 'y': 40.46781000000004}, 'score': 70, 'attributes': {'URL': '', 'address': '', 'City': 'Halifax', 'Country': 'USA'}, 'extent': {'xmin': -76.94108999999999, 'ymin': 40.457810000000045, 'xmax': -76.92108999999998, 'ymax': 40.47781000000004}}]",-86.01282002338763,40.034720910529444
52,Halifax Shopping Centre Food Court,"Tue, 11/16/2021 - 19:00 to 21:00","7001 Mumford Rd, Halifax",details,Central,11/20/2021 - 20:03,Halifax Shopping Centre Food Court,"Halifax Shopping Centre Food Court-7001 Mumford Rd, Halifax","[{'address': 'Halifax Shopping Centre', 'location': {'x': -63.61743999999999, 'y': 44.64922000000007}, 'score': 98.2, 'attributes': {'URL': '', 'address': '7001 Mumford Rd', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.62243999999999, 'ymin': 44.64422000000007, 'xmax': -63.612439999999985, 'ymax': 44.65422000000007}}, {'address': 'Halifax Shopping Centre-North', 'location': {'x': -63.61665999999997, 'y': 44.650900000000036}, 'score': 97.57, 'attributes': {'URL': '', 'address': '7001 Mumford Rd', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.62165999999997, 'ymin': 44.64590000000003, 'xmax': -63.611659999999965, 'ymax': 44.65590000000004}}, {'address': '7001 Mumford Rd, Halifax, Nova Scotia, B3L 2H8', 'location': {'x': -63.619545922556185, 'y': 44.6476755113684}, 'score': 94, 'attributes': {'URL': '', 'address': '7001 Mumford Rd', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.62054592255618, 'ymin': 44.6466755113684, 'xmax': -63.61854592255619, 'ymax': 44.648675511368396}}]",-63.61743999999999,44.64922000000007
53,BMO Centre,"Tue, 11/16/2021 - 17:30 to 19:30","61 Gary Martin Dr., Bedford",details,Central,11/20/2021 - 19:25,BMO Centre,"BMO Centre-61 Gary Martin Dr., Bedford","[{'address': '61 Gary Martin Dr, Bedford, Halifax, Nova Scotia, B4B 0G7', 'location': {'x': -63.703841615330624, 'y': 44.72482586965196}, 'score': 97, 'attributes': {'URL': '', 'address': '61 Gary Martin Dr', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.70597996160061, 'ymin': 44.72411001616954, 'xmax': -63.703979961600616, 'ymax': 44.726110016169535}}, {'address': '61 Martin Dr, Bedford, Indiana, 47421', 'location': {'x': -86.45620509783761, 'y': 38.852386951144375}, 'score': 91.4, 'attributes': {'URL': '', 'address': '61 Martin Dr', 'City': 'Bedford', 'Country': 'USA'}, 'extent': {'xmin': -86.45720509783762, 'ymin': 38.85138695114438, 'xmax': -86.4552050978376, 'ymax': 38.85338695114437}}, {'address': 'Martin Dr, Bedford, Indiana, 47421', 'location': {'x': -86.45625991581765, 'y': 38.85244002977966}, 'score': 82.5, 'attributes': {'URL': '', 'address': 'Martin Dr', 'City': 'Bedford', 'Country': 'USA'}, 'extent': {'xmin': -86.45725991581766, 'ymin': 38.85144002977966, 'xmax': -86.45525991581765, 'ymax': 38.853440029779655}}, {'address': 'Martin Dr, Bedford, Texas, 76021', 'location': {'x': -97.1170314269153, 'y': 32.85285100019563}, 'score': 82.5, 'attributes': {'URL': '', 'address': 'Martin Dr', 'City': 'Bedford', 'Country': 'USA'}, 'extent': {'xmin': -97.11803142691531, 'ymin': 32.85185100019563, 'xmax': -97.1160314269153, 'ymax': 32.853851000195625}}]",-63.703841615330624,44.72482586965196
54,Le Bistro by Liz,"Sun, 11/14/2021 - 17:30 to 21:00","1333 Park St., Halifax",details,Central,11/19/2021 - 18:43,Le Bistro by Liz,"Le Bistro by Liz-1333 Park St., Halifax","[{'address': 'Le Bistro by Liz', 'location': {'x': -63.578849994951, 'y': 44.640500022217076}, 'score': 99.5, 'attributes': {'URL': 'https://www.lebistrohalifax.com/contact/', 'address': '1333 S Park St', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.583289999999984, 'ymin': 44.63564000000007, 'xmax': -63.57328999999998, 'ymax': 44.64564000000008}}]",-63.578849994951,44.640500022217076
55,Eastern Shore Community Center Arena,"Sun, 11/14/2021 - 16:30 to 19:30","67 Park Rd., Musquodoboit Harbour",details,Central,11/16/2021 - 20:10,Eastern Shore Community Center Arena,"Eastern Shore Community Center Arena-67 Park Rd., Musquodoboit Harbour","[{'address': 'Eastern Shore Community Centre', 'location': {'x': -63.147360017311286, 'y': 44.79068992714621}, 'score': 99.15, 'attributes': {'URL': '', 'address': '67 Park Rd', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.15344999999997, 'ymin': 44.784250000000036, 'xmax': -63.143449999999966, 'ymax': 44.79425000000004}}, {'address': '67 Park Rd, Musquodoboit Harbour, Halifax, Nova Scotia, B0J', 'location': {'x': -63.14674688649717, 'y': 44.7894315676714}, 'score': 94.58, 'attributes': {'URL': '', 'address': '67 Park Rd', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.14945000540299, 'ymin': 44.788250015648664, 'xmax': -63.147450005402995, 'ymax': 44.79025001564866}}]",-63.147360017311286,44.79068992714621
